name,profile,position,class,height,weight,high_school,hometown,rating,nil_value,status,last_team,new_team
Peyton Marshall,https://www.on3.com/db/peyton-marshall-154716/,C,FR,7-0,336,Overtime Elite,"(Marietta, GA)",91.44,,Committed,Missouri,Georgia Tech Yellow Jackets
Naas Cunningham,https://www.on3.com/db/naas-cunningham-90872/,SF,FR,6-7,180,Southern California Academy,"(West Orange, NJ)",90.42,,Committed,Alabama,UNLV Rebels
Tyrell Ward,https://www.on3.com/db/tyrell-ward-118605/,SG,JR,6-6,185,DeMatha Catholic,"(Hyattsville, MD)",89.94,,Committed,LSU,VCU Rams
Dillon Mitchell,https://www.on3.com/db/dillon-mitchell-37027/,SF,JR,6-7,180,Montverde Academy,"(Spring Hill, FL)",95.24,,Committed,Cincinnati,St. John's Red Storm
Desmond Claude,https://www.on3.com/db/desmond-claude-35547/,PG,JR,6-5,180,Putnam Science Academy,"(Oakdale, CT)",93.52,,Entered,USC,N/A
Ryan Forrest,https://www.on3.com/db/ryan-forrest-155496/,SG,SO,6-4,190,Link Academy,"(Marion, AR)",84.58,,Entered,North Carolina A&T,N/A
Curtis Givens,https://www.on3.com/db/curtis-givens-150968/,PG,FR,6-3,180,Montverde Academy,"(Memphis, TN)",94.71,,Entered,LSU,N/A
James Scott,https://www.on3.com/db/james-scott-155486/,PF,SO,6-11,210,Seventy-First,"(Fayetteville, NC)",84.00,,Entered,Louisville,N/A
Elijah Hawkins,https://www.on3.com/db/elijah-hawkins-179456/,PG,SR,5-11,152,DeMatha Catholic,"(Washington, DC)",,,Entered,Texas Tech,N/A
Ja'Vier Francis,https://www.on3.com/db/javier-francis-50703/,PF,SR,6-8,235,Montverde Academy,"(Montverde, FL)",,,Entered,Houston,N/A
Travis Perry,https://www.on3.com/db/travis-perry-114678/,PG,FR,6-2,170,Lyon County,"(Eddyville, KY)",93.67,,Entered,Kentucky,N/A
Karris Bilal,https://www.on3.com/db/karris-bilal-162595/,PG,FR,6-2,180,Riverwood,"(Atlanta, GA)",89.00,,Committed,Vanderbilt,Louisiana Ragin Cajuns
Sean Stewart,https://www.on3.com/db/sean-stewart-105663/,PF,SO,6-8,230,Montverde Academy,"(Orlando, FL)",97.93,,Entered,Ohio State,N/A
Jacksen Moni,https://www.on3.com/db/jacksen-moni-247260/,PF,SR,6-10,235,Sheyenne,"(Fargo, ND)",,,Entered,North Dakota State,N/A
Ven-Allen Lubin,https://www.on3.com/db/ven-allen-lubin-119387/,SF,JR,6-8,226,Orlando Christian Prep,"(Orlando, FL)",94.08,,Entered,North Carolina,N/A
Jestin Porter,https://www.on3.com/db/jestin-porter-147851/,CG,SR,6-1,180,Cy Ridge,"(Houston, TX)",90.93,,Committed,Middle Tennessee State,Clemson Tigers
Duke Miles,https://www.on3.com/db/duke-miles-39340/,CG,SR,6-2,170,Percy L. Julian,"(Montgomery, AL)",92.80,,Committed,Oklahoma,Texas A&M Aggies
Boogie Fland,https://www.on3.com/db/boogie-fland-64138/,PG,FR,6-2,175,Archbishop Stepinac,"(Harlem, NY)",98.17,,Entered,Arkansas,N/A
Jason Drake,https://www.on3.com/db/jason-drake-57513/,CG,JR,6-2,180,St. Mary's,"(West Bloomfield, MI)",89.00,,Committed,Drexel,Indiana Hoosiers
Sam Walters,https://www.on3.com/db/sam-walters-104586/,PF,SO,6-9,180,Villages Charter School,"(The Villages, FL)",90.90,,Committed,Michigan,SMU Mustangs
Dawson Garcia,https://www.on3.com/db/dawson-garcia-32563/,PF,SR,6-11,220,Prior Lake,"(Prior Lake, MN)",96.51,,Entered,Minnesota,N/A
Garwey Dual,https://www.on3.com/db/garwey-dual-155406/,CG,SO,6-5,175,So Cal Academy,"(Carmel, IN)",90.00,,Committed,Seton Hall,McNeese State Cowboys
AK Okereke,https://www.on3.com/db/ak-okereke-250308/,PF,JR,6-7,241,Clovis North,"(Clovis, CA)",,,Committed,Cornell,Vanderbilt Commodores
Kyrell Luc,https://www.on3.com/db/kyrell-luc-155015/,PG,SR,5-11,164,Brimmer And May School,"(Chestnut Hill, MA)",89.00,,Entered,Longwood,N/A
Bobby Pettiford,https://www.on3.com/db/bobby-pettiford-11354/,PG,SR,6-1,190,South Granville,"(Durham, NC)",89.00,,Entered,High Point,N/A
Rodney Rice,https://www.on3.com/db/rodney-rice-101753/,SG,JR,6-4,205,DeMatha Catholic,"(Clinton, MD)",95.73,,Committed,Maryland,USC Trojans
Baba Miller,https://www.on3.com/db/baba-miller-155768/,PF,JR,6-10,180,Spain,(Madrid),86.67,,Entered,Florida Atlantic,N/A
Nazir Williams,https://www.on3.com/db/nazir-williams-250752/,PG,SR,6-3,185,South Kent School,"(Nyack, NY)",90.57,,Entered,Cornell,N/A
"Keith Higgins, Jr.",https://www.on3.com/db/keith-higgins-jr-72109/,SG,SR,6-3,165,Chaminade,"(West Hills, CA)",92.57,,Entered,Lehigh,N/A
Malcolm Wilson,https://www.on3.com/db/malcolm-wilson-81652/,C,SR,6-11,205,Ridge View,"(Columbia, SC)",92.73,,Entered,Queens University of Charlotte,N/A
Taje Kelly,https://www.on3.com/db/taje-kelly-250751/,PF,SR,6-7,240,Grayson,"(Atlanta, GA)",93.76,,Entered,Charleston Southern,N/A
Justin Vander Baan,https://www.on3.com/db/justin-vander-baan-69919/,C,SR,7-0,215,Whitinsville Christian School,"(Whitinsville, MA)",93.96,,Entered,Lafayette,N/A
Scotty Middleton,https://www.on3.com/db/scotty-middleton-105274/,SF,SO,6-7,180,Sunrise Christian Academy,"(Miami, FL)",95.33,,Committed,Seton Hall,Tulane Green Wave
Chance Westry,https://www.on3.com/db/chance-westry-19838/,SF,JR,6-6,190,Compass Prep,"(Harrisburg, PA)",96.56,,Committed,Syracuse,UAB Blazers
JT Rock,https://www.on3.com/db/jt-rock-158749/,C,RS-FR,7-1,245,Lincoln,"(Sioux Falls, SD)",91.72,,Committed,Iowa State,New Mexico Lobos
Anastasios Rozakeas,https://www.on3.com/db/anastasios-rozakeas-246414/,SF,FR,6-7,225,Lyceum,(Athens),,,Committed,Florida State,Mount St. Mary's Mountaineers
Dylan Anderson,https://www.on3.com/db/dylan-anderson-39774/,PF,RS-SO,7-0,215,Perry,"(Gilbert, AZ)",89.00,,Committed,Boise State,Murray State Racers
Grant Newell,https://www.on3.com/db/grant-newell-46544/,SF,JR,6-6,180,IMG Academy,"(Chicago, IL)",,,Committed,North Texas,Western Kentucky Hilltoppers
Ladji Dembele,https://www.on3.com/db/ladji-dembele-154258/,PF,SO,6-8,245,St. Benedict Prep,"(Newark, NJ)",91.64,,Committed,Iowa,UNLV Rebels
Zeke Mayo,https://www.on3.com/db/zeke-mayo-123736/,PG,SR,6-3,170,Lawrence,"(Lawrence, KS)",95.88,,Entered,Kansas,N/A
MJ Collins,https://www.on3.com/db/mj-collins-147021/,SG,JR,6-4,190,Westminster Catawba Christian School,"(Rock Hill, SC)",90.41,,Committed,Vanderbilt,Utah State Aggies
Xzayvier Brown,https://www.on3.com/db/xzayvier-brown-122277/,PG,SO,6-1,175,Roman Catholic,"(Philadelphia, PA)",84.25,,Committed,Saint Joseph's University,Oklahoma Sooners
Trent McLaughlin,https://www.on3.com/db/trent-mclaughlin-250734/,SG,SR,6-6,200,Basha,"(Chandler, AZ)",94.80,,Entered,Northern Arizona,N/A
Shakeel Moore,https://www.on3.com/db/shakeel-moore-106232/,PG,SR,6-1,190,Moravian Prep,"(Greensboro, NC)",92.02,,Withdrawn,Kansas,Kansas
Dallan Coleman,https://www.on3.com/db/dallan-coleman-28144/,SG,SR,6-6,218,West Nassau,"(Callahan, FL)",94.96,,Entered,UCF,N/A
Khaman Maker,https://www.on3.com/db/khaman-maker-158736/,C,FR,7-1,215,Trinity International Schools,"(Las Vegas, NV)",91.57,,Committed,St. John's,DePaul Blue Demons
Shakeel Moore,https://www.on3.com/db/shakeel-moore-106232/,PG,SR,6-1,190,Moravian Prep,"(Greensboro, NC)",92.02,,Entered,Kansas,N/A
Carter Whitt,https://www.on3.com/db/carter-whitt-18962/,PG,SR,6-3,170,Leesville Road,"(Wolfeboro, NH)",,,Entered,Belmont University,N/A
Brandon Huntley-Hatfield,https://www.on3.com/db/brandon-huntley-hatfield-144164/,PF,SR,6-10,246,Scotland Campus,"(Clarksville, TN)",92.65,,Entered,NC State,N/A
Ian Schieffelin,https://www.on3.com/db/ian-schieffelin-48839/,PF,SR,6-8,225,Grayson,"(Loganville, GA)",95.74,,Entered,Clemson,N/A
Femi Odukale,https://www.on3.com/db/femi-odukale-43762/,SG,SR,6-3,185,Commonwealth Academy,"(Brooklyn, NY)",90.00,,Entered,Minnesota,N/A
Jaeden Zackery,https://www.on3.com/db/jaeden-zackery-162840/,PG,SR,6-2,215,Westosha Central,"(Salem, WI)",94.78,,Entered,Clemson,N/A
Payton Sparks,https://www.on3.com/db/payton-sparks-95967/,C,SR,6-9,240,Winchester Community,"(Winchester, IN)",93.84,,Entered,Ball State,N/A
Julian Hammond III,https://www.on3.com/db/julian-hammond-iii-68606/,CG,SR,6-2,180,Cherry Creek,"(Englewood, CO)",91.62,,Entered,Colorado,N/A
Isaiah Hawthorne,https://www.on3.com/db/isaiah-hawthorne-49537/,SF,RS-SR,6-7,180,Tracy,"(Tracy, CA)",94.75,,Entered,Northern Colorado,N/A
Jayden Epps,https://www.on3.com/db/jayden-epps-58641/,CG,JR,6-2,195,Combine Academy,"(Suffolk, VA)",93.95,,Entered,Georgetown,N/A
Sekou Konneh,https://www.on3.com/db/sekou-konneh-236021/,PF,FR,6-6,230,St. Thomas More,"(Milwaukee, WI)",82.25,,Entered,DePaul,N/A
Ra'Heim Moss,https://www.on3.com/db/raheim-moss-97842/,SG,SR,6-4,205,Springfield,"(Springfield, OH)",,,Entered,Oregon,N/A
Donovan Newby,https://www.on3.com/db/donovan-newby-38218/,PG,SR,6-0,170,Bloom,"(Chicago Heights, IL)",89.00,,Entered,University of North Carolina Wilmington,N/A
Marcus Randolph,https://www.on3.com/db/marcus-randolph-174002/,SG,SR,6-5,195,Archbishop Wood,"(Willingboro, NJ)",89.00,,Entered,Saint Peter's,N/A
Cam Hayes,https://www.on3.com/db/cam-hayes-17468/,PG,SR,6-2,185,Greensboro Day School,"(Greensboro, NC)",89.00,,Entered,East Carolina,N/A
Boubacar Coulibaly,https://www.on3.com/db/boubacar-coulibaly-11471/,C,SR,6-10,210,San Gabriel Academy,"(San Gabriel, CA)",85.70,,Entered,Pepperdine,N/A
Ian Jackson,https://www.on3.com/db/ian-jackson-145590/,SG,FR,6-4,185,Our Saviour Lutheran School,"(Bronx, NY)",97.56,$1.5M,Committed,North Carolina,St. John's Red Storm
Duncan Powell,https://www.on3.com/db/duncan-powell-39365/,PF,SR,6-8,220,DeSoto,"(DeSoto, TX)",,,Committed,Georgia Tech,Providence Friars
Xaivian Lee,https://www.on3.com/db/xaivian-lee-239429/,PG,JR,6-3,171,Perkiomen School,"(Toronto, ON)",95.72,,Signed,Princeton,Florida Gators
Jalen Celestine,https://www.on3.com/db/jalen-celestine-54197/,SG,SR,6-6,185,Long Island Lutheran,"(Glen Head, NY)",91.40,,Committed,Baylor,Cincinnati Bearcats
Dontrez Styles,https://www.on3.com/db/dontrez-styles-38504/,SF,SR,6-7,205,Kinston,"(Kinston, NC)",92.80,,Entered,NC State,N/A
Moustapha Thiam,https://www.on3.com/db/moustapha-thiam-236038/,C,FR,7-1,200,DME Academy,(Dakar),97.17,$1.7M,Committed,UCF,Cincinnati Bearcats
Emmanuel Ugbo,https://www.on3.com/db/emmanuel-ugbo-176452/,PF,SO,6-8,235,Netherlands,(Lagos),,,Committed,Boise State,Washington State Cougars
Justyn Fernandez,https://www.on3.com/db/justyn-fernandez-147588/,SG,RS-SO,6-5,200,IMG Academy,"(Richmond, VA)",88.50,,Committed,Providence,Delaware Fightin' Blue Hens
Cliff Davis,https://www.on3.com/db/cliff-davis-241553/,SG,SR,6-2,185,Thomasville,"(Thomasville, GA)",89.00,,Entered,The University of Texas Rio Grande Valley,N/A
Mike Sharavjamts,https://www.on3.com/db/mike-sharavjamts-89355/,SG,JR,6-8,180,ISA Academy,"(Willoughby, OH)",93.67,,Committed,Utah,South Carolina Gamecocks
Jordan Ross,https://www.on3.com/db/jordan-ross-65978/,CG,SO,6-1,150,Compass Prep,"(Pleasant Grove, UT)",90.61,,Entered,Saint Mary's College of California,N/A
CJ Jones,https://www.on3.com/db/cj-jones-147010/,CG,JR,6-4,180,East St. Louis,"(East Saint Louis, IL)",89.00,,Entered,Kansas State,N/A
Denzel Aberdeen,https://www.on3.com/db/denzel-aberdeen-147282/,CG,JR,6-5,180,Dr. Phillips,"(Orlando, FL)",94.23,,Committed,Florida,Kentucky Wildcats
Treysen Eaglestaff,https://www.on3.com/db/treysen-eaglestaff-248243/,SG,JR,6-6,190,Bismarck,"(Bismarck, ND)",94.37,,Committed,North Dakota,West Virginia Mountaineers
Alvaro Folgueiras,https://www.on3.com/db/alvaro-folgueiras-250311/,PF,SO,6-9,215,DME Academy,(Malaga),95.74,,Committed,Robert Morris,Iowa Hawkeyes
Nate Johnson,https://www.on3.com/db/nate-johnson-145018/,SG,SR,6-3,204,Lakota East,"(Middletown, OH)",95.18,,Committed,Akron,Kansas State Wildcats
Connor Kochera,https://www.on3.com/db/connor-kochera-173886/,CG,SR,6-5,200,Saint Viator,"(Arlington Heights, IL)",91.70,,Entered,Davidson,N/A
Denzel Aberdeen,https://www.on3.com/db/denzel-aberdeen-147282/,CG,JR,6-5,180,Dr. Phillips,"(Orlando, FL)",94.23,,Entered,Florida,Kentucky
Santiago Trouet,https://www.on3.com/db/santiago-trouet-250265/,PF,SO,6-10,218,American,(Buenos Aires),,,Committed,San Diego,Arizona State Sun Devils
Isaiah Elohim,https://www.on3.com/db/isaiah-elohim-49466/,SG,FR,6-5,205,Sierra Canyon,"(Kingston, NY)",90.71,,Committed,USC,Florida Atlantic Owls
Hercy Miller,https://www.on3.com/db/hercy-miller-48084/,PG,SR,6-3,160,Minnehaha Academy,"(Minneapolis, MN)",,,Entered,Southern Utah,N/A
Elyjah Freeman,https://www.on3.com/db/elyjah-freeman-249483/,SF,FR,6-8,,Wellington,"(Palm Beach, FL)",93.89,,Committed,Lincoln Memorial,Auburn Tigers
Achor Achor,https://www.on3.com/db/achor-achor-241308/,PF,SR,6-9,227,Greenforest McCalep Christian Academy,(Melbourne),92.79,,Committed,Kansas State,Mississippi State Bulldogs
Khalil Brantley,https://www.on3.com/db/khalil-brantley-74862/,PG,SR,6-0,165,Boys & Girls,"(Brooklyn, NY)",90.00,,Entered,Oklahoma State,N/A
Arturo Dean,https://www.on3.com/db/arturo-dean-7760/,PG,JR,5-9,145,Putnam Science Academy,"(Miami, FL)",91.63,,Entered,Oklahoma State,N/A
Chase Forte,https://www.on3.com/db/chase-forte-20668/,PG,SO,6-4,190,Word Of God Christian Academy,"(Raleigh, NC)",89.92,,Committed,South Dakota,Boston College Eagles
Corey Washington,https://www.on3.com/db/corey-washington-154968/,SF,JR,6-6,185,North Little Rock,"(North Little Rock, AR)",92.23,,Committed,Wichita State,SMU Mustangs
Kijani Wright,https://www.on3.com/db/kijani-wright-75176/,PF,JR,6-9,220,Sierra Canyon,"(Los Angeles, CA)",95.25,,Entered,Vanderbilt,N/A
Jahki Howard,https://www.on3.com/db/jahki-howard-145569/,SF,FR,6-6,180,Overtime Elite,"(Boston, MA)",91.35,,Committed,Auburn,Utah Utes
Chandler Jackson,https://www.on3.com/db/chandler-jackson-144721/,CG,JR,6-4,205,Christian Brothers,"(Memphis, TN)",87.50,,Committed,Florida State,Arkansas State Red Wolves
Josiah Moseley,https://www.on3.com/db/josiah-moseley-175985/,PF,FR,6-6,200,Stony Point,"(Round Rock, TX)",93.94,,Committed,Villanova,Texas Tech Red Raiders
Martin Somerville,https://www.on3.com/db/martin-somerville-250318/,PG,FR,6-3,185,Southern California Academy,"(Bowie, MD)",91.54,,Committed,University of Massachusetts Lowell,Florida State Seminoles
Parsa Fallah,https://www.on3.com/db/parsa-fallah-160608/,PF,JR,6-9,260,Iran,"(Cedar City, UT)",91.46,,Committed,Oregon State,Oklahoma State Cowboys
Bryson Tucker,https://www.on3.com/db/bryson-tucker-150940/,SF,FR,6-7,200,Bishop O'Connell,"(Bowie, MD)",97.63,,Committed,Indiana,Washington Huskies
Ezra Ausar,https://www.on3.com/db/ezra-ausar-43581/,PF,JR,6-8,235,Liberty Heights Athletic Institute,"(Snellville, GA)",93.86,,Committed,Utah,USC Trojans
Jabri Abdur-Rahim,https://www.on3.com/db/jabri-abdur-rahim-50831/,SG,SR,6-8,210,Blair Academy,"(Blairstown, NJ)",96.66,,Entered,Providence,N/A
JaQualon Roberts,https://www.on3.com/db/jaqualon-roberts-155454/,PF,SO,6-7,195,Bloomington North,"(Bloomington, IN)",85.03,,Committed,Vanderbilt,Davidson Wildcats
Jason Asemota,https://www.on3.com/db/jason-asemota-150952/,SF,FR,6-8,190,Hillcrest Prep,"(Lynn, MA)",89.00,,Committed,Baylor,Boston College Eagles
Stanley Borden,https://www.on3.com/db/stanley-borden-148399/,C,SR,6-10,240,Istanbul International Community School,(Istanbul),,,Entered,Duke,N/A
Kachi Nzeh,https://www.on3.com/db/kachi-nzeh-158431/,PF,SO,6-9,220,George School,"(Newtown, PA)",89.00,,Entered,Penn State,N/A
Nate Calmese,https://www.on3.com/db/nate-calmese-91484/,SG,JR,6-3,170,Mesquite,"(Gilbert, AZ)",90.45,,Committed,Washington State,Wake Forest Demon Deacons
Luke Hunger,https://www.on3.com/db/luke-hunger-147563/,PF,JR,6-10,255,Northfield Mount Hermon,"(GILL, MA)",85.80,,Committed,Northwestern,George Washington University Colonials
Juan Cranford,https://www.on3.com/db/juan-cranford-250386/,SG,FR,6-3,205,Wayne,"(Dayton, OH)",88.50,,Committed,Saint Francis (PA),Eastern Kentucky Colonels
Eren Banks,https://www.on3.com/db/eren-banks-154872/,CG,SO,6-3,180,Putnam County,"(Eatonton, GA)",89.00,,Committed,Georgia Southern,Appalachian State Mountaineers
Trey Fort III,https://www.on3.com/db/trey-fort-iii-162952/,SG,JR,6-4,195,Florence,"(Big Spring, TX)",91.36,,Committed,Samford,Michigan State Spartans
Ja'Von Benson,https://www.on3.com/db/javon-benson-50706/,PF,SR,6-7,253,Ridge View,"(Columbia, SC)",84.00,,Entered,Ole Miss,N/A
Dante Maddox Jr.,https://www.on3.com/db/dante-maddox-jr-29798/,SG,SR,6-2,195,Bloom,"(Chicago Heights, IL)",92.73,,Entered,Xavier,N/A
Jordann Dumont,https://www.on3.com/db/jordann-dumont-151092/,SF,RS-FR,6-8,190,Hamilton Heights Christian Academy,"(Montreal, QC)",89.00,,Entered,Villanova,N/A
Tyler McGhie,https://www.on3.com/db/tyler-mcghie-117837/,SF,SR,6-4,180,Guyer,"(Denton, TX)",94.86,,Entered,University of California San Diego,N/A
Adam Njie,https://www.on3.com/db/adam-njie-156622/,CG,FR,6-2,175,Cardinal Hayes,"(Bronx, NY)",88.50,,Committed,Iona,Dayton Flyers
Sincere Parker,https://www.on3.com/db/sincere-parker-107547/,SG,SR,6-4,180,Compass Prep,"(Chandler, AZ)",91.63,,Committed,McNeese State,Memphis Tigers
Andrej Stojakovic,https://www.on3.com/db/andrej-stojakovic-147264/,SF,SO,6-6,185,Jesuit,"(Carmichael, CA)",96.11,,Entered,California,N/A
Darryl Simmons II,https://www.on3.com/db/darryl-simmons-ii-155485/,PG,SO,5-10,160,Putnam Science Academy,"(Detroit, MI)",88.00,,Committed,Gardner Webb,St. Bonaventure University Bonnies
Sam Alexis,https://www.on3.com/db/sam-alexis-241453/,PF,JR,6-9,260,Apopka,"(Apopka, FL)",93.88,,Entered,Florida,N/A
Augustinas Kiudulas,https://www.on3.com/db/augustinas-kiudulas-250343/,PF,SO,6-8,215,BC Rytas Vilnius,(Vilnius),91.66,,Committed,Virginia Military Institute,Colorado State Rams
Adante Holiman,https://www.on3.com/db/adante-holiman-1428/,PG,JR,5-9,160,McAlester,"(Mcalester, OK)",,,Committed,Georgia Southern,Arizona State Sun Devils
Jeremy Foumena,https://www.on3.com/db/jeremy-foumena-150573/,C,RS-SO,7-0,210,Orangeville Prep,"(Montreal, QC)",,,Committed,Mississippi State,UCF Knights
Simeon Wilcher,https://www.on3.com/db/simeon-wilcher-107487/,SG,SO,6-4,185,Roselle Catholic,"(Roselle, NJ)",93.28,,Entered,St. John's,N/A
Duke Brennan,https://www.on3.com/db/duke-brennan-39325/,C,JR,6-10,235,Hillcrest Prep,"(Gilbert, AZ)",92.80,,Committed,Grand Canyon University,Villanova Wildcats
Chance Moore,https://www.on3.com/db/chance-moore-19803/,SF,SR,6-5,195,McEachern,"(Powder Springs, GA)",92.31,,Committed,St. Bonaventure University,West Virginia Mountaineers
Daniel Freitag,https://www.on3.com/db/daniel-freitag-155754/,CG,FR,6-3,175,Jefferson,"(Minneapolis, MN)",89.00,,Committed,Wisconsin,Buffalo Bulls
Josh Holloway,https://www.on3.com/db/josh-holloway-250513/,PG,SO,6-2,160,Oak Hill Academy,"(Memphis, TN)",,,Committed,Samford,Texas A&M Aggies
Mackenzie Mgbako,https://www.on3.com/db/mackenzie-mgbako-81211/,SF,SO,6-8,210,Roselle Catholic,"(Gladstone, NJ)",94.78,,Committed,Indiana,Texas A&M Aggies
Brycen Long,https://www.on3.com/db/brycen-long-178494/,CG,SR,6-2,181,Gilbert,"(Gilbert, AZ)",,,Committed,Arizona State,Portland State Vikings
Chad Baker-Mazara,https://www.on3.com/db/chad-baker-mazara-180564/,SF,SR,6-7,190,Spire Academy,(Santo Domingo),96.11,,Entered,Auburn,N/A
Malcolm Thomas,https://www.on3.com/db/malcolm-thomas-175992/,PF,FR,6-8,195,DeMatha Catholic,"(Hyattsville, MD)",85.80,,Entered,Villanova,N/A
Wes Enis,https://www.on3.com/db/wes-enis-250121/,PG,SO,6-2,200,Miami East,"(Conover, OH)",91.38,,Committed,Lincoln Memorial,USF Bulls
Bryce Lindsay,https://www.on3.com/db/bryce-lindsay-15835/,SG,SO,6-3,175,IMG Academy,"(Baltimore, MD)",86.25,,Committed,James Madison,Villanova Wildcats
Dillon Battie,https://www.on3.com/db/dillon-battie-176004/,PF,FR,6-7,195,Lancaster,"(Lancaster, TX)",90.00,,Committed,Temple,Wichita State Shockers
Kevin Overton,https://www.on3.com/db/kevin-overton-176075/,SG,SO,6-3,180,Sunrise Christian Academy,"(Wichita, KS)",92.69,,Committed,Texas Tech,Auburn Tigers
PJ Haggerty,https://www.on3.com/db/pj-haggerty-96721/,SG,RS-SO,6-3,170,Crosby,"(Crosby, TX)",98.44,$1.7M,Entered,Memphis,N/A
Jayden Stone,https://www.on3.com/db/jayden-stone-58707/,CG,SR,6-3,175,Sunrise Christian Academy,(Perth),91.58,,Entered,West Virginia,N/A
Benny Williams,https://www.on3.com/db/benny-williams-10249/,PF,SR,6-8,208,IMG Academy,"(Bradenton, FL)",97.07,,Entered,UCF,N/A
Rahsool Diggins,https://www.on3.com/db/rahsool-diggins-98018/,PG,SR,6-1,160,Archbishop Wood,"(Philadelphia, PA)",91.74,,Entered,Massachusetts,N/A
Dejour Reaves,https://www.on3.com/db/dejour-reaves-241409/,PG,SR,6-0,170,Corcoran,"(Syracuse, NY)",,,Committed,Iona,Fordham Rams
JP Pegues,https://www.on3.com/db/jp-pegues-241519/,PG,SR,6-1,185,Hillsboro,"(New Orleans, LA)",90.00,,Entered,Auburn,N/A
Amier Ali,https://www.on3.com/db/amier-ali-4274/,SF,FR,6-8,180,Canyon International Academy,"(Columbus, OH)",92.49,,Committed,Arizona State,Mississippi State Bulldogs
Barrington Hargess,https://www.on3.com/db/barrington-hargess-250353/,PG,RS-SO,6-0,,Heritage Christian School,"(Inglewood, CA)",92.40,,Committed,University of California Riverside,Colorado Buffaloes
Braden Pierce,https://www.on3.com/db/braden-pierce-156667/,C,SO,7-0,230,IMG Academy,"(Woodstock, GA)",84.35,,Committed,Maryland,Villanova Wildcats
BJ Freeman,https://www.on3.com/db/bj-freeman-10606/,CG,SR,6-6,180,Moravian Prep,"(Hickory, NC)",92.70,,Entered,Arizona State,N/A
Colt Langdon,https://www.on3.com/db/colt-langdon-162560/,PF,FR,6-7,205,Millbrook,"(Raleigh, NC)",89.75,,Entered,Butler,NC State
Isaiah Barnes,https://www.on3.com/db/isaiah-barnes-49352/,SF,SR,6-6,180,Simeon,"(Chicago, IL)",89.13,,Committed,Tulsa,Valparaiso Beacons
Owen Aquino,https://www.on3.com/db/owen-aquino-250447/,PF,JR,6-8,230,,(Madrid),,,Committed,Liberty,High Point Panthers
Zachary Davis,https://www.on3.com/db/zachary-davis-147011/,CG,JR,6-7,200,Denmark-Olar,"(Denmark, SC)",90.45,,Committed,South Carolina,Memphis Tigers
Dylan Faulkner,https://www.on3.com/db/dylan-faulkner-250693/,PF,SO,6-9,215,Calhoun,"(Calhoun, GA)",92.98,,Entered,Lipscomb,N/A
Nate Johnson,https://www.on3.com/db/nate-johnson-145018/,SG,SR,6-3,204,Lakota East,"(Middletown, OH)",95.18,,Entered,Akron,Kansas State
Tony Duckett,https://www.on3.com/db/tony-duckett-250700/,SG,FR,6-5,185,Carlsbad,"(Carlsbad, CA)",89.00,,Entered,San Diego,N/A
Jalen Quinn,https://www.on3.com/db/jalen-quinn-54465/,PG,JR,6-2,170,Tuscola,"(Tuscola, IL)",,,Committed,Loyola (Chi),Drake Bulldogs
Oleg Kojenets,https://www.on3.com/db/oleg-kojenets-94291/,C,SR,6-10,215,Western Reserve Academy,"(Hudson, OH)",83.80,,Committed,Wyoming,Stony Brook Seawolves
Jordan McCullum,https://www.on3.com/db/jordan-mccullum-156845/,SF,FR,6-8,190,Huntington Prep,"(Harriman, TN)",89.32,,Committed,Murray State,East Tennessee State Buccaneers
Makhi Myles,https://www.on3.com/db/makhi-myles-155466/,SF,FR,6-6,195,Sunrise Christian Post Grad,"(Starkville, MS)",,,Committed,UAB,Southeastern Louisiana Lions
Tayton Conerway,https://www.on3.com/db/tayton-conerway-250256/,CG,SR,6-3,186,Centennial,"(Burleson, TX)",93.81,,Committed,Troy,Indiana Hoosiers
Christian King,https://www.on3.com/db/christian-king-173928/,SF,SO,6-7,190,Seattle Prep School,"(Seattle, WA)",82.75,,Committed,Washington,Montana State Bobcats
Chris Lockett Jr.,https://www.on3.com/db/chris-lockett-jr-22022/,SG,RS-FR,6-5,200,Isidore Newman,"(New Orleans, LA)",86.35,,Committed,Boise State,Jacksonville Dolphins
Luke McEldon,https://www.on3.com/db/luke-mceldon-152265/,C,SO,6-10,230,Cushing Academy,"(Ashburnham, MA)",,,Committed,Santa Clara University,Utah Valley University Wolverines
Bryce Zephir,https://www.on3.com/db/bryce-zephir-161434/,SG,SR,6-4,200,Santa Monica,"(Carson, CA)",,,Committed,Montana State,Syracuse Orange
Daimion Collins,https://www.on3.com/db/daimion-collins-27920/,PF,RS-JR,6-9,210,Atlanta,"(Atlanta, TX)",92.32,,Committed,LSU,USF Bulls
Jasai Miles,https://www.on3.com/db/jasai-miles-246633/,SG,SO,6-6,205,Miami Country Day School,"(Miami, FL)",91.43,,Committed,North Florida,Indiana Hoosiers
Melvin Council,https://www.on3.com/db/melvin-council-242223/,SG,SR,6-4,185,University Prep Charter School for Young Men,"(Rochester, NY)",93.33,,Committed,St. Bonaventure University,Kansas Jayhawks
Elijah Moore,https://www.on3.com/db/elijah-moore-156626/,SG,FR,6-3,170,Our Saviour Lutheran School,"(Bronx, NY)",90.93,,Committed,Syracuse,Utah Utes
Jordan Ivy-Curry,https://www.on3.com/db/jordan-ivy-curry-145172/,SG,SR,6-2,170,La Marque,"(La Marque, TX)",91.68,,Entered,UCF,N/A
